"State","Law: Abstinence1","Law Level2","Laws & Policy Level3"
"Alabama","Yes","3","3"
"Alaska","-","-","1"
"Arizona","Yes","2","3"
"Arkansas","Yes","2","3"
"California","Yes","1","1"
"Colorado","Yes","2","2"
"Connecticut","No","0","0"
"Delaware","-","-","3"
"Florida","Yes","3","3"
"Georgia","Yes","2","2"
"Hawaii","-","-","3"
"Idaho","No","0","0"
"Illinois","Yes","3","3"
"Indiana","Yes","3","3"
"Iowa","No","0","0"
"Kansas","-","-","0"
"Kentucky","-","-","3"
"Louisiana","Yes","3","3"
"Maine","Yes","1","1"
"Maryland","-","-","0"
"Massachusetts","No","0","1"
"Michigan","Yes","1","1"
"Minnesota","Yes","1","1"
"Mississippi","Yes","3","3"
"Missouri","Yes","2","2"
"Montana","-","-","0"
"Nebraska","-","-","2"
"Nevada","No","0","0"
"New Hampshire","No","0","0"
"New Jersey","Yes","1","1"
"New Mexico","-","-","3"
"New York","-","-","1"
"North Carolina","Yes","3","3"
"North Dakota","-","-","-"
"Ohio","Yes","3","3"
"Oklahoma","Yes","3","3"
"Oregon","Yes","1","1"
"Pennsylvania","Yes","2","3"
"Rhode Island","Yes","2","3"
"South Carolina","Yes","3","3"
"South Dakota","Yes","2","2"
"Tennessee","Yes","3","3"
"Texas","Yes","3","3"
"Utah","Yes","3","3"
"Vermont","Yes","1","1"
"Virginia","Yes","2","2"
"Washington","Yes","2","2"
"West Virginia","No","0","0"
"Wisconsin","No","0","1"
"Wyoming","-","-","-"
