"State","pregnancyRate"
"Alabama","48"
"Alaska","47"
"Arizona","47"
"Arkansas","59"
"California","44"
"Colorado","37"
"Connecticut","29"
"Delware","46"
"District of Columbia","67"
"Florida","46"
"Georgia","47"
"Hawaii","44"
"Idaho","36"
"Illinois","43"
"Indiana","42"
"Iowa","32"
"Kansas","40"
"Kentucky","52"
"Louisiana","54"
"Maine","29"
"Maryland","42"
"Massachussets","24"
"Michigan","39"
"Minnesota","26"
"Mississippi","58"
"Missouri","43"
"Montanta","41"
"Nebraska","35"
"Nevada","49"
"New Hampshire","22"
"New Jersey","36"
"New Mexico","62"
"New York ","45"
"North Carolina","44"
"North Dakota","34"
"Ohio","41"
"Oklahoma","58"
"Oregon","36"
"Pennsylvania","35"
"Rhode Island","32"
"South Carolina","48"
"South Dakota","38"
"Tennesee","49"
"Texas","58"
"Utah","28"
"Vermont","28"
"Virginia","36"
"Washington","37"
"West Virginia","54"
"Wisconsin","28"
"Wyoming","41"
